Coalition/Party,parlimen,percentage_votes
Independent (BEBAS),P.089 Bentong,1.2
Independent (BEBAS),P.091 Rompin,0.61
Independent (BEBAS),P.094 Hulu Selangor,0.36
Independent (BEBAS),P.095 Tanjong Karang,2.75
Independent (BEBAS),P.097 Selayang,0.65
Independent (BEBAS),P.098 Gombak,0.41
Independent (BEBAS),P.099 Ampang,0.14
Independent (BEBAS),P.099 Ampang,0.18
Independent (BEBAS),P.099 Ampang,0.09
Independent (BEBAS),P.101 Hulu Langat,0.24
Independent (BEBAS),P.102 Bangi,0.28
Independent (BEBAS),P.102 Bangi,0.16
Independent (BEBAS),P.102 Bangi,0.08
Independent (BEBAS),P.103 Puchong,1.48
Independent (BEBAS),P.105 Petaling Jaya,0.32
Independent (BEBAS),P.107 Sungai Buloh,0.09
Independent (BEBAS),P.107 Sungai Buloh,0.13
Independent (BEBAS),P.109 Kapar,0.3
Independent (BEBAS),P.110 Klang,1.84
Independent (BEBAS),P.110 Klang,0.27
Independent (BEBAS),P.111 Kota Raja,0.08
Independent (BEBAS),P.111 Kota Raja,0.11
Independent (BEBAS),P.111 Kota Raja,0.05
Independent (BEBAS),P.112 Kuala Langat,0.41
Independent (BEBAS),P.113 Sepang,0.23
Independent (BEBAS),P.113 Sepang,0.14
Independent (BEBAS),P.114 Kepong,2.02
Independent (BEBAS),P.115 Batu,0.75
Independent (BEBAS),P.115 Batu,5.28
Independent (BEBAS),P.115 Batu,0.13
Independent (BEBAS),P.115 Batu,0.72
Independent (BEBAS),P.116 Wangsa Maju,0.23
Independent (BEBAS),P.118 Setiawangsa,0.38
Independent (BEBAS),P.118 Setiawangsa,0.66
Independent (BEBAS),P.122 Seputeh,0.99
Independent (BEBAS),P.122 Seputeh,1.46
Independent (BEBAS),P.125 Putrajaya,0.17
Independent (BEBAS),P.125 Putrajaya,0.05
Independent (BEBAS),P.128 Seremban,0.3
Independent (BEBAS),P.132 Port Dickson,0.55
Independent (BEBAS),P.136 Tangga Batu,0.29
Independent (BEBAS),P.138 Kota Melaka,0.75
Independent (BEBAS),P.144 Ledang,0.09
Independent (BEBAS),P.144 Ledang,0.17
Independent (BEBAS),P.145 Bakri,2.6
Independent (BEBAS),P.152 Kluang,0.42
Independent (BEBAS),P.154 Mersing,0.19
Independent (BEBAS),P.167 Kudat,36.19
Independent (BEBAS),P.168 Kota Marudu,1.32
Independent (BEBAS),P.170 Tuaran,0.67
Independent (BEBAS),P.170 Tuaran,3.45
Independent (BEBAS),P.172 Kota Kinabalu,0.31
Independent (BEBAS),P.174 Penampang,0.57
Independent (BEBAS),P.175 Papar,0.53
Independent (BEBAS),P.175 Papar,0.77
Independent (BEBAS),P.177 Beaufort,0.49
Independent (BEBAS),P.177 Beaufort,1.86
Independent (BEBAS),P.181 Tenom,35.0
Independent (BEBAS),P.181 Tenom,0.3
Independent (BEBAS),P.184 Libaran,1.48
Independent (BEBAS),P.185 Batu Sapi,0.59
Independent (BEBAS),P.186 Sandakan,7.57
Independent (BEBAS),P.186 Sandakan,3.11
Independent (BEBAS),P.186 Sandakan,0.8
Independent (BEBAS),P.190 Tawau,1.28
Independent (BEBAS),P.190 Tawau,3.5
Independent (BEBAS),P.191 Kalabakan,0.68
Independent (BEBAS),P.193 Santubong,5.81
Independent (BEBAS),P.199 Serian,15.46
Independent (BEBAS),P.202 Sri Aman,17.77
Independent (BEBAS),P.204 Betong,18.93
Independent (BEBAS),P.209 Julau,23.18
Independent (BEBAS),P.210 Kanowit,2.37
Independent (BEBAS),P.210 Kanowit,4.11
Independent (BEBAS),P.210 Kanowit,12.69
Independent (BEBAS),P.211 Lanang,1.11
Independent (BEBAS),P.214 Selangau,5.65
Independent (BEBAS),P.220 Baram,1.09
Malaysian United Democratic Alliance (MUDA),P.041 Kepala Batas,20.51
Malaysian United Democratic Alliance (MUDA),P.095 Tanjong Karang,24.05
Malaysian United Democratic Alliance (MUDA),P.134 Masjid Tanah,13.6
Malaysian United Democratic Alliance (MUDA),P.146 Muar,37.55
Malaysian United Democratic Alliance (MUDA),P.165 Tanjung Piai,31.57
Malaysian United Democratic Alliance (MUDA),P.168 Kota Marudu,6.46
Pakatan Harapan (PH),P.001 Padang Besar,15.64
Pakatan Harapan (PH),P.002 Kangar,26.94
Pakatan Harapan (PH),P.003 Arau,15.15
Pakatan Harapan (PH),P.004 Langkawi,11.41
Pakatan Harapan (PH),P.005 Jerlun,11.78
Pakatan Harapan (PH),P.006 Kubang Pasu,19.18
Pakatan Harapan (PH),P.007 Padang Terap,5.56
Pakatan Harapan (PH),P.008 Pokok Sena,23.34
Pakatan Harapan (PH),P.009 Alor Setar,35.79
Pakatan Harapan (PH),P.010 Kuala Kedah,28.1
Pakatan Harapan (PH),P.011 Pendang,10.66
Pakatan Harapan (PH),P.012 Jerai,18.94
Pakatan Harapan (PH),P.013 Sik,7.3
Pakatan Harapan (PH),P.014 Merbok,30.77
Pakatan Harapan (PH),P.015 Sungai Petani,38.91
Pakatan Harapan (PH),P.016 Baling,7.92
Pakatan Harapan (PH),P.017 Padang Serai,38.7
Pakatan Harapan (PH),P.018 Kulim-Bandar Baharu,30.44
Pakatan Harapan (PH),P.019 Tumpat,7.42
Pakatan Harapan (PH),P.020 Pengkalan Chepa,9.46
Pakatan Harapan (PH),P.021 Kota Bharu,24.68
Pakatan Harapan (PH),P.022 Pasir Mas,9.88
Pakatan Harapan (PH),P.023 Rantau Panjang,7.03
Pakatan Harapan (PH),P.024 Kubang Kerian,12.58
Pakatan Harapan (PH),P.025 Bachok,4.88
Pakatan Harapan (PH),P.026 Ketereh,7.42
Pakatan Harapan (PH),P.027 Tanah Merah,7.69
Pakatan Harapan (PH),P.028 Pasir Puteh,4.77
Pakatan Harapan (PH),P.029 Machang,6.04
Pakatan Harapan (PH),P.030 Jeli,2.65
Pakatan Harapan (PH),P.031 Kuala Krai,6.41
Pakatan Harapan (PH),P.032 Gua Musang,9.34
Pakatan Harapan (PH),P.033 Besut,5.08
Pakatan Harapan (PH),P.034 Setiu,2.5
Pakatan Harapan (PH),P.035 Kuala Nerus,4.23
Pakatan Harapan (PH),P.036 Kuala Terengganu,11.34
Pakatan Harapan (PH),P.037 Marang,3.8
Pakatan Harapan (PH),P.038 Hulu Terengganu,2.42
Pakatan Harapan (PH),P.039 Dungun,5.81
Pakatan Harapan (PH),P.040 Kemaman,7.37
Pakatan Harapan (PH),P.042 Tasek Gelugor,24.66
Pakatan Harapan (PH),P.043 Bagan,81.27
Pakatan Harapan (PH),P.044 Permatang Pauh,37.01
Pakatan Harapan (PH),P.045 Bukit Mertajam,77.33
Pakatan Harapan (PH),P.046 Batu Kawan,73.72
Pakatan Harapan (PH),P.047 Nibong Tebal,53.2
Pakatan Harapan (PH),P.048 Bukit Bendera,78.98
Pakatan Harapan (PH),P.049 Tanjong,84.83
Pakatan Harapan (PH),P.050 Jelutong,71.24
Pakatan Harapan (PH),P.051 Bukit Gelugor,82.73
Pakatan Harapan (PH),P.052 Bayan Baru,61.54
Pakatan Harapan (PH),P.053 Balik Pulau,38.43
Pakatan Harapan (PH),P.054 Gerik,16.7
Pakatan Harapan (PH),P.055 Lenggong,12.22
Pakatan Harapan (PH),P.056 Larut,11.97
Pakatan Harapan (PH),P.057 Parit Buntar,33.7
Pakatan Harapan (PH),P.058 Bagan Serai,21.1
Pakatan Harapan (PH),P.059 Bukit Gantang,25.94
Pakatan Harapan (PH),P.060 Taiping,55.56
Pakatan Harapan (PH),P.061 Padang Rengas,23.64
Pakatan Harapan (PH),P.062 Sungai Siput,41.89
Pakatan Harapan (PH),P.063 Tambun,39.77
Pakatan Harapan (PH),P.064 Ipoh Timor,72.13
Pakatan Harapan (PH),P.065 Ipoh Barat,81.57
Pakatan Harapan (PH),P.066 Batu Gajah,81.38
Pakatan Harapan (PH),P.067 Kuala Kangsar,28.96
Pakatan Harapan (PH),P.068 Beruas,64.72
Pakatan Harapan (PH),P.069 Parit,13.49
Pakatan Harapan (PH),P.070 Kampar,51.3
Pakatan Harapan (PH),P.071 Gopeng,53.92
