,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
580,Negeri Sembilan,P.128 Seremban,1,Loke Siew Fook,LOKE SIEW FOOK,45.0,male,chinese,PAKATAN HARAPAN (PH),63916,1,won,0
589,Negeri Sembilan,P.129 Kuala Pilah,5,Adnan Bin Abu Hassan,DATO' HJ ADNAN HJ ABU HASSAN,52.0,male,bumiputera,BARISAN NASIONAL (BN),21423,1,won,1
592,Negeri Sembilan,P.130 Rasah,3,Cha Kee Chin,CHA KEE CHIN,48.0,male,chinese,PAKATAN HARAPAN (PH),81434,1,won,0
594,Negeri Sembilan,P.131 Rembau,2,Mohamad Bin Haji Hasan,TOK MAT,66.0,male,bumiputera,BARISAN NASIONAL (BN),53075,1,won,1
602,Negeri Sembilan,P.132 Port Dickson,5,Aminuddin Bin Harun,DATO' SERI AMINUDDIN BIN HARUN,55.0,male,bumiputera,PAKATAN HARAPAN (PH),42013,1,won,1
603,Negeri Sembilan,P.133 Tampin,1,Mohd Isam Bin Mohd Isa,MOHD ISAM BIN MOHD ISA,53.0,male,bumiputera,BARISAN NASIONAL (BN),23283,1,won,1
608,Melaka,P.134 Masjid Tanah,2,Mas Ermieyati Binti Samsudin,MAS ERMIEYATI,46.0,female,bumiputera,PERIKATAN NASIONAL (PN),25604,1,won,0
612,Melaka,P.135 Alor Gajah,2,Adly Bin Zahari,ADLY ZAHARI,51.0,male,bumiputera,PAKATAN HARAPAN (PH),28178,1,won,1
617,Melaka,P.136 Tangga Batu,3,Bakri Bin Jamaluddin,BAKRI JAMALUDDIN,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),37406,1,won,1
620,Melaka,P.137 Hang Tuah Jaya,1,Adam Adli Bin Abd Halim,ADAM ADLI,33.0,male,bumiputera,PAKATAN HARAPAN (PH),39418,1,won,1
624,Melaka,P.138 Kota Melaka,1,Khoo Poay Tiong,KHOO POAY TIONG,51.0,male,chinese,PAKATAN HARAPAN (PH),73995,1,won,0
631,Melaka,P.139 Jasin,4,Zulkifli Bin Ismail,TUAN GURU ZULKIFLI ISMAIL,56.0,male,bumiputera,PERIKATAN NASIONAL (PN),27893,1,won,1
634,Johor,P.140 Segamat,3,Yuneswaran A/L Ramaraj,R. YUNESWARAN,36.0,male,indian,PAKATAN HARAPAN (PH),23437,1,won,1
639,Johor,P.141 Sekijang,4,Zaliha Binti Mustafa,DR. ZALIHA MUSTAFA,58.0,female,bumiputera,PAKATAN HARAPAN (PH),18941,1,won,1
642,Johor,P.142 Labis,2,Pang Hok Liong,PANG HOK LIONG,65.0,male,chinese,PAKATAN HARAPAN (PH),16133,1,won,0
645,Johor,P.143 Pagoh,2,Mahiaddin Bin Md Yasin,TAN SRI MUHYIDDIN BIN MD YASIN,75.0,male,bumiputera,PERIKATAN NASIONAL (PN),24986,1,won,0
647,Johor,P.144 Ledang,1,Syed Ibrahim Bin Syed Noh,SYED IBRAHIM SYED NOH,58.0,male,bumiputera,PAKATAN HARAPAN (PH),33650,1,won,0
655,Johor,P.145 Bakri,3,Tan Hong Pin,TAN HONG PIN,41.0,male,chinese,PAKATAN HARAPAN (PH),36636,1,won,1
659,Johor,P.146 Muar,3,Syed Saddiq Bin Syed Abdul Rahman,SYED SADDIQ,29.0,male,bumiputera,IKATAN DEMOKRATIK MALAYSIA (MUDA),19961,1,won,0
660,Johor,P.147 Parit Sulong,1,Noraini Binti Ahmad,NORAINI AHMAD,55.0,female,bumiputera,BARISAN NASIONAL (BN),25740,1,won,0
663,Johor,P.148 Ayer Hitam,1,Wee Ka Siong,WEE KA SIONG,54.0,male,chinese,BARISAN NASIONAL (BN),18911,1,won,0
666,Johor,P.149 Sri Gading,1,Aminolhuda Bin Hassan,CIKGU HUDA,63.0,male,bumiputera,PAKATAN HARAPAN (PH),23242,1,won,1
670,Johor,P.150 Batu Pahat,1,Onn Bin Abu Bakar,ONN BIN ABU BAKAR,59.0,male,bumiputera,PAKATAN HARAPAN (PH),45242,1,won,1
678,Johor,P.151 Simpang Renggam,4,Hasni Bin Mohammad,HASNI BIN MOHAMMAD,63.0,male,bumiputera,BARISAN NASIONAL (BN),18312,1,won,1
680,Johor,P.152 Kluang,2,Wong Shu Qi,WONG SHU QI,39.0,female,bumiputera,PAKATAN HARAPAN (PH),49801,1,won,0
683,Johor,P.153 Sembrong,1,Hishammuddin Bin Datuk Hussein,HISHAMMUDDIN HUSSEIN,61.0,male,bumiputera,BARISAN NASIONAL (BN),22572,1,won,0
